minute, a unit of angular measurement equal to one sixtieth of a degree or seconds
minute, also called minute of arc
minute, a measure of the distance one can cover in a minute lives ten minutes from school
minute, a short interval of time moment
minute, see synonyms at moment
minute, a specific point in time stop that this minute
minute, a note or summary covering points to be remembered a memorandum
minute, an official record of the proceedings of a meeting
minute, to record in a memorandum or the minutes of a meeting
minute, exceptionally small tiny
minute, see synonyms at small
minute, beneath notice insignificant
minute, characterized by careful scrutiny and close examination held a minute inspection of the grounds
minute, very small
minute, very careful and exact giving small details
minute, a unit of time equal to sixty seconds one sixtieth of an hour
minute, a short but unspecified time period
minute, a unit of angle equal to one sixtieth of a degree
minute, a usually formal written record of a meeting
minute, a minute of use of a telephone or other network especially a cell phone network
minute, of an event to write in a memo or the minutes of a meeting
minute, of or pertaining to a minute or minutes occurring at or marking successive minutes
minute, very small little tiny fine slight slender inconsiderable
minute, attentive to small things paying attention to details critical particular precise
minute, the sixtieth part of an hour sixty seconds
minute, the sixtieth part of a degree sixty seconds marked thus
minute, a nautical or a geographic mile
minute, a coin a half farthing
minute, a very small part of anything or anything very small a jot a tittle
minute, a point of time a moment
minute, the memorandum a record a note to preserve the memory of anything
minute, a fixed part of a module
minute, to set down a short sketch or note of to jot down to make a minute or a brief summary of
minute, very small diminutive or limited extremely little in dimensions extent or amount
minute, very small in scope or degree relating to or consisting of small points or matters particular closely precise or exact as minute details of directions minute criticism
minute, attending to very small particulars marking or noting little things or precise details very close or careful as minute observation
minute, circumstantial particular minute
minute, a circumstantial account gives the facts in detail while circumstantial may include only the leading circumstances a particular account gleans more closely gathering all that are of any importance or interest a minute account details even the slightest facts perhaps those that are trivial and tedious
minute, something very small an unimportant particular a petty detail a trifle specifically a mite or half farthing
minute, the sixtieth part of any unit
minute, in geometry the sixtieth part of a degree of a circle
minute, division of units by sixtieths is the characteristic of the babylonian system
minute, ptolemy following the babylonian astronomers divides the diameter of the circle into tmemata or degrees and these into sixty parts and these again into sixty parts
minute, these subdivisions were translated into latin as partes minutœ primœ and partes minutœ secundœ whence our minutes primes and seconds
minute, in modern astronomical works minutes of time are denoted by the initial letter m and minutes of a degree or of angular space by an acute accent
minute, in architecture the sixtieth part of the diameter of a column at the base being a subdivision used for measuring the minuter parts of an order
minute, a written summary of an agreement or of a transaction interview or proceedings a note to preserve the memory of anything usually in the plural
minute, strong synonyms strong instant etc
minute, repeated every minute as a minute gun
minute, made in a minute or a very short time as a minute pudding minute beer
minute, minute bell a bell tolled at intervals of a minute as a sign of mourning
minute, to set down in a short sketch or note make a minute or memorandum of enter in the minutes or record of transactions of a corporation etc
minute, a unit of time equal to seconds or of an hour
minute, a unit of angular distance equal to a of a degree
minute, a short note
minute, an indefinitely short time
minute, a particular point in time
minute, infinitely or immeasurably small
minute, distance measured by the time taken to cover it
minute, characterized by painstaking care and detailed examination
company, one s companions or associates moved in fast company is known by the company she keeps
company, a guest or guests had company for the weekend
company, the state of friendly companionship fellowship was grateful for her company friends who finally parted company
company, a business enterprise a firm
